rank	word	count
1467	novog	16281
1468	ser	16280
1469	cemo	16261
1470	verovati	16246
1471	prestati	16240
1472	razmišljao	16193
1473	pitala	16185
1474	iznenađenje	16182
1475	svejedno	16160
1476	sretan	16147
1477	nece	16128
1478	pokazati	16107
1479	brine	16084
1480	vec	16076
1482	opasno	16035
1483	otkad	16035
1484	oduvek	16030
1485	их	16013
1486	prošao	15987
1487	daću	15985
1488	želio	15975
1489	izašao	15964
1490	ušao	15964
1491	donesi	15963
1492	traže	15950
1493	poslednja	15949
1494	kakvu	15937
1495	prekini	15923
1496	čudo	15922
1497	ubijem	15883
1498	početi	15879
1499	има	15879
1500	mir	15872
